但	340	223
如果	294	194
因为	247	164
但是	197	140
而	190	541
并	167	274
也	147	1023
为了	119	84
并且	113	56
由于	113	75
却	107	192
以及	101	149
甚至	98	75
因此	92	52
而且	88	60
所以	64	39
不过	62	77
其中	59	81
还	55	682
之后	55	86
为	51	646
同时	47	79
然而	43	27
又	41	239
即使	41	50
如	40	75
及	39	172
使	38	145
更	37	393
然后	37	18
除了	34	92
才	29	234
尤其	27	29
因	25	65
包括	25	89
若	25	19
尽管	24	56
不管	24	20
导致	23	49
可是	22	19
比如	20	11
虽然	19	178
无论	18	39
只要	17	55
以后	16	39
或者	16	84
造成	15	92
例如	15	13
让	14	327
于是	14	16
因而	14	12
且	13	23
表示	12	113
或是	12	31
之前	11	32
以便	11	10
原因	10	55
反而	10	15
希望	10	140
使得	10	36
另外	9	35
譬如	9	6
一旦	9	15
后来	9	35
否则	8	20
随后	8	5
则	8	102
目的	8	25
既然	7	10
即	7	41
从而	7	12
除非	7	17
以来	7	38
加上	7	70
理由	6	26
不仅	6	91
以免	6	5
此外	6	7
当	5	99
即便	5	2
要求	5	106
当时	5	79
还有	5	11
比起	4	7
仍然	4	68
现在	4	169
必须	4	110
引起	4	31
竟然	4	19
以前	4	44
企图	4	10
以致	4	1
随着	4	45
之所以	4	9
随即	3	5
主要	3	105
倘若	3	2
结果	3	83
最后	3	62
至少	3	48
与此同时	3	3
引发	3	22
同比	3	4
那么	3	98
尔后	3	4
可能	3	286
假如	3	2
不论	3	17
进而	3	9
看出	2	3
试图	2	13
显示	2	19
特别	2	71
何况	2	3
说明	2	19
防止	2	18
这样	2	140
接下来	2	2
证明	2	28
毕竟	2	12
不同	2	118
鉴于	2	2
哪怕	2	2
虽	2	33
如今	2	35
促进	2	22
相对	2	18
难怪	2	3
前夕	2	1
接着	2	9
总之	2	0
指出	2	40
致使	2	3
不然	2	3
规定	2	65
表态	1	3
阐述	1	1
此前	1	11
例外	1	1
由此	1	4
被迫	1	8
正值	1	0
免得	1	0
之外	1	54
先前	1	4
对照	1	3
与其	1	14
必然	1	12
原来	1	15
针对	1	34
当年	1	17
预计	1	23
其后	1	2
总的来说	1	1
最近	1	35
反观	1	1
甚	1	10
获益	1	1
继而	1	0
仅	1	35
有的	1	31
出于	1	5
或许	1	35
总而言之	1	1
统称	1	0
表明	1	10
当然	1	37
不如	1	16
其次	1	7
亦	1	15
举凡	1	1
原先	1	8
受到	1	75
反倒	1	6
目前	1	154
要是	1	1
有赖于	1	1
用以	1	0
目标	1	47
迫使	1	4
可见	1	1
经过	1	52
至于	1	6
以下	1	15
实际上	1	18
过去	1	100
此时	1	5
而后	1	0
来自	1	58
用于	1	14
例子	1	5
去年	1	91
相比	1	11
只不过	1	3
对比	1	10
其实	1	38
居然	1	8
曾经	1	34
偏偏	1	2
基于	1	12
剔除	1	1
诸如	1	13
故	1	7
以至	1	3
招致	1	0
看来	1	24
归纳	1	2
伴随	1	2
日后	1	4
宣布	1	31
