但是	513	0	0	1	0	2	0	3	0.002	4	0.96	5	0.039	6	0
但	491	0	0	1	0	2	0.002	3	0	4	0.977	5	0.02	6	0
因为	407	0	0	1	0	2	0.987	3	0	4	0.005	5	0.006	6	0
而	402	0	0	1	0	2	0.012	3	0	4	0.418	5	0.495	6	0.074
不过	301	0	0	1	0	2	0	3	0	4	0.954	5	0.043	6	0.003
也	289	0	0	1	0.003	2	0.003	3	0	4	0.009	5	0.508	6	0.474
如果	258	0	0	1	0	2	0	3	0.988	4	0	5	0.012	6	0
并	228	0	0	1	0.008	2	0.004	3	0	4	0.013	5	0.833	6	0.14
所以	226	0	0	1	0.009	2	0.877	3	0	4	0.004	5	0.11	6	0
并且	190	0	0	1	0.005	2	0	3	0	4	0	5	0.863	6	0.131
而且	187	0	0	1	0	2	0.005	3	0	4	0.01	5	0.936	6	0.048
因此	167	0	0	1	0	2	1.0	3	0	4	0	5	0	6	0
还	151	0	0	1	0.007	2	0	3	0	4	0.007	5	0.603	6	0.384
然而	142	0	0	1	0	2	0	3	0	4	0.951	5	0.049	6	0
以及	128	0	0	1	0	2	0	3	0	4	0	5	0.094	6	0.906
由于	122	0	0	1	0.008	2	0.983	3	0	4	0	5	0.008	6	0
其中	114	0	0	1	0	2	0	3	0	4	0.009	5	0.992	6	0
同时	113	0	0	1	0.735	2	0	3	0	4	0	5	0.097	6	0.168
甚至	109	0	0	1	0	2	0	3	0	4	0	5	1.0	6	0
为了	108	0	0	1	0	2	0.992	3	0	4	0	5	0.009	6	0
之后	104	0	0	1	1.0	2	0	3	0	4	0	5	0	6	0
却	102	0	0	1	0	2	0	3	0	4	1.0	5	0	6	0
另外	98	0	0	1	0	2	0	3	0	4	0.01	5	0.5	6	0.49
然后	88	0	0	1	0.999	2	0	3	0	4	0	5	0	6	0
比如	78	0	0	1	0	2	0	3	0	4	0	5	1.0	6	0
此外	65	0	0	1	0	2	0	3	0	4	0.015	5	0.738	6	0.246
如	58	0	0	1	0	2	0	3	0.052	4	0	5	0.948	6	0
又	54	0	0	1	0.019	2	0	3	0	4	0	5	0.574	6	0.407
虽然...但	54	0	0	1	0	2	0	3	0	4	0.982	5	0.019	6	0
使	49	0	0	1	0	2	1.0	3	0	4	0	5	0	6	0
更	49	0	0	1	0	2	0	3	0	4	0	5	1.0	6	0
及	48	0	0	1	0	2	0	3	0	4	0	5	0.021	6	0.979
